YEAR,"2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Europe, Northern America, Australia and New Zealand",1405523.845356938,1593774.528460919,1636408.160090269,1749763.41731926,1896274.022632252,1820050.088221918,1885584.874558584,2056141.881791262,2265243.242568203,2357824.604062725,2383021.025090889,2753892.361901677,2769041.637154415
"Central and Southern Asia",87766.49351931211,100090.2623740473,109511.2334151194,116125.4000913978,119033.545009606,120477.1802296991,123673.2538187873,129666.5334746918,141041.9088447852,156378.6565956298,162909.8119470062,194355.8178816934,245186.9952174246
"Eastern and South-Eastern Asia",242523.2028899463,288637.8964843032,299460.3299156001,326677.8295882135,380702.999226079,384908.1588201821,405133.2281348078,438659.5011984909,506426.4672978189,544353.1397677155,562859.8795997609,654389.0374330523,683176.2777981069
"Western Asia and Northern Africa",54178.920571064,59757.1804850738,69319.36564137151,76460.1726390554,82798.685248995,81555.901838697,85199.37342628191,89684.683103337,100997.2109891351,104909.8464322126,112416.3746161218,"-","-"
"Developing economies",341830.6229305705,400660.2756968138,441344.2197865766,478489.8241654392,520251.4265572497,523568.4422895131,532677.7123820368,574289.1998785453,655617.7222076657,693093.4098121524,714836.7237676396,839808.2718447226,946033.2111736254
"  Developing economies: Africa",16757.1102164865,18178.0544045424,20170.4196185224,20457.0225442398,21659.1757588105,22871.5128878253,22428.9742201947,24223.1196424687,26999.8036538221,27495.6861335592,26061.4754903088,29753.3323308166,32066.1107899429
"  Developing economies: Americas",41930.4044860761,49436.1930880882,55506.9252512324,57594.7429640305,61064.8440157017,57448.2091006129,56943.3932231492,61455.4688697239,62961.3623648791,62595.7058324726,56058.9689443148,62608.3702314075,72558.8433471084
"  Developing economies: Asia and Oceania",283143.1082280081,333046.0282041828,365666.8749168213,400438.0586571685,437527.4067827373,443248.7203010747,453305.3449386932,488610.6113663523,565656.5561889645,603002.0178461202,632716.2793330164,747446.5692824988,841408.2570365733
"    Developing economies: Asia",282880.0862778209,332698.0951404913,365337.1841904825,400092.4173775837,437242.8399310492,443006.1141050198,453056.9745058149,488276.9491164446,565300.6215883811,602655.5636358461,632490.0499112541,747214.0570505454,841184.4280736315
"    Developing economies: Oceania",263.0219501872,347.9330636914,329.690726339,345.6412795847,284.566851688,242.606196055,248.3704328783,333.6622499077,355.9346005842,346.4542102742,226.2294217622,232.5122319535,223.8289629419
"Developed economies",1499939.685306939,1702877.22661092,1742191.603610269,1862040.27769926,2034174.630812252,1957102.631311918,2039538.037238585,2219186.638091262,2441073.478348203,2552794.529494662,2580074.882622275,2977240.8924471,2995891.996785024
"  Developed economies: Americas",374561.81323242,419893.071854,444014.15274941,461126.05650191,488691.38436,486833.2808,504340.6260521547,551066.6989699805,568776.1372063174,604290.7522151811,617586.2234918941,697455.7546672674,727101.3352816085
"  Developed economies: Asia and Oceania",108750.2390128096,126246.4866249547,124072.5883623178,130982.9797931204,156693.387477842,154270.0891698619,171629.4870914285,182432.9796277169,196398.2312589555,216651.6471593697,218829.741415419,249456.6406356005,252434.5877129663
"    Developed economies: Asia",94415.83994999999,109102.69815,105783.44352,112276.86038,137900.60818,137052.54309,153953.16268,163044.7563,175830.23578,194969.9254319376,197053.8575313863,223348.5305454286,226850.3596306115
"    Developed economies: Oceania",14334.3990628097,17143.7884749547,18289.1448423176,18706.1194131204,18792.779297842,17217.5460798619,17676.3244114286,19388.2233277169,20567.9954789555,21681.721727432,21775.8838840328,26108.1100901719,25584.2280823548
"  Developed economies: Europe",1016627.633061708,1156737.668131964,1174104.862498541,1269931.241404228,1388789.858974409,1315999.261342056,1363567.924095,1485686.959493564,1675899.109882931,1731852.130120112,1743658.917714962,2030328.497144238,2016356.073790454
"Developing economies excluding China",285710.9309105705,327882.6945168134,369417.2404265765,397726.3125154389,423097.3709972496,431628.6764795132,440193.5208820367,473156.7690785446,525250.5591476667,551510.0450021528,562832.4703876399,648317.8326847219,740748.8196536258
"Developing economies excluding LDCs",337245.2707613934,395234.5408030371,435392.1331482367,472635.2459158796,513789.714148527,517622.8796210191,527007.0892695736,568607.798197296,649334.1408748113,686519.8698560445,708625.8501650575,833286.1596745217,938985.8190090957
"LDCs (Least developed countries)",4585.3521691774,5425.7348937768,5952.0866383399,5854.5782495594,6461.7124087225,5945.562668494,5670.6231124634,5681.4016812491,6283.5813328545,6573.5399561082,6210.873602582,6522.1121702013,7047.3921645296
"  LDCs: Asia",2122.9196163509,2574.6635111442,2388.8184121574,2378.1323760317,2752.384009948,2610.9088526795,2557.789665512,2548.256933327,3014.427015739,3433.3694901503,3348.576230488,3190.7080007615,3828.305754715
"  LDCs: Africa",2400.9419583893,2763.3087351787,3452.7120170411,3362.878945698,3575.9083707745,3223.0330965144,3031.6399705514,3053.5585782221,3183.8229229155,3061.3712577579,2807.626824294,3278.6015838398,"-"
"  LDCs: Islands and Haiti",61.4905944372,87.7626474539,110.5562091414,113.5669278298,133.420028,111.6207193,81.19347639999999,79.5861697,85.33139420000001,78.7992082,54.6705478,52.8025856,"-"
